New Internal Code,Gross Weight (Kgs)
26,20.300
28,12.650
29,12.800
30,12.800
31,12.800
32,12.800
33,12.800
34,12.800
35,12.800
36,12.800
37,25.300
38,12.800
39,12.650
40,12.650
43,12.650
44,12.650
45,25.300
46,12.800
47,12.800
48,1.065
49,1.065
50,1.065
51,12.650
52,12.700
53,12.650
54,12.650
55,12.800
56,12.800
57,12.650
58,12.650
59,12.800
60,12.800
61,12.650
62,12.650
63,12.800
64,12.800
65,12.650
66,1.065
67,1.065
68,12.800
69,12.800
1525,12.650
1796,12.650
1881,12.800
1982,12.8
2068,12.8
2200,12.65
2249,12.8
2317,1
2316,1
424,5.100
71,12.800
72,10.200
73,10.200
74,12.650
75,12.850
76,12.800
78,12.800
79,12.900
80,5.500
81,12.800
82,12.900
83,5.500
84,12.800
85,12.650
86,12.800
87,12.800
89,12.800
90,12.650
1831,12.650
1832,12.800
1882,12.650
2250,5.1
2251,12.8
2278,12.8
2279,12.8
2319,1
2318,1
2314,10.8
425,1.065
91,1.065
92,1.065
93,1.065
94,1.065
95,1.065
96,1.065
97,1.065
98,1.065
99,12.800
100,1.065
101,1.065
102,1.065
103,1.065
104,1.065
105,1.065
106,1.065
107,1.065
108,1.065
109,1.065
110,1.065
111,1.065
112,1.065
114,1.065
115,1.065
116,1.065
117,12.650
118,1.065
119,12.800
120,1.065
121,12.650
122,1.065
123,12.650
124,1.065
125,1.065
126,1.065
127,1.065
128,1.065
129,1.065
130,5.100
131,1.065
132,10.615
133,1.065
134,1.065
135,1.065
1755,1.065
1768,1.065
1777,1.065
1805,1.065
1808,0.000
1828,1.065
1836,1.065
1833,1.065
1835,1.065
1860,12.650
1879,1.065
1888,1.065
1889,1.065
1923,1.065
1926,1.065
1927,1.065
1928,1.065
1930,1.065
1931,1.065
1942,1.065
1959,1.065
1961,1.065
1964,1.065
1965,1.065
1983,1.065
1999,1.065
2000,1.065
2001,1.065
2002,1.065
2003,1.065
2004,1.065
2005,1.065
2012,1.065
2017,1.065
2035,1.065
2050,1.065
2062,1.065
2066,1.065
2067,1.065
2070,1.065
2071,1.065
2072,1.065
2075,1.065
2076,1.065
2077,1.065
2101,1.065
2108,1.065
2112,0.000
2113,0.000
2117,1.065
2118,1.065
2122,1.065
2136,1.065
2139,1.065
2158,1.065
2165,1.065
2177,1.065
2178,1.065
2181,1.065
2189,1.065
2190,1.065
2191,1.065
2203,1.065
2205,1.065
2216,1.065
2217,1.065
2221,1.065
2222,1.065
2231,1.065
2236,1.065
2243,1.065
2256,1.065
2262,1.065
2268,1.065
2305,1.065
2310,1.065
2311,1.065
2312,1.065
2321,1.065
136,20.300
137,25.300
138,5.200
139,2.300
140,12.800
141,20.300
142,20.300
144,12.800
146,25.300
147,25.300
148,25.300
149,12.800
150,25.300
151,20.150
153,20.300
154,20.300
155,20.150
1924,1.065
2258,12.8
523,20.500
524,20.500
525,20.500
526,20.500
527,20.500
529,25.500
530,20.500
531,20.500
532,20.500
533,20.500
534,25.500
823,20.500
535,25.500
536,20.500
537,25.500
538,20.500
539,20.500
540,25.500
541,25.500
542,20.500
543,20.500
544,25.500
545,25.500
546,25.500
547,12.800
548,25.500
1816,25.500
1949,25.500
1952,20.5
1962,20.5
1980,22.5
2011,20.5
2125,15.3
2313,25.5
549,20.500
550,15.300
551,15.300
552,13.500
553,10.800
555,12.800
556,2.100
557,0.500
562,10.200
566,25.500
567,25.500
1819,12.800
2008,20.3
2034,0.2
2169,12.9
2170,15.6
2275,12.3
824,12.650
1770,1.000
1810,10.400
1821,1.050
1823,3.150
2300,1.05
2301,1.05
2302,1.05
426,10.615
428,10.700
156,20.800
157,10.700
158,10.700
159,10.700
160,20.800
1820,10.700
1898,12.800
1985,13.4
2024,13.4
2059,10.7
2100,10.7
2134,10.7
