New Internal Code,New Stock Code,Import Commodity Code,Sales Description
229,1024053,0712909090,Veggie Bites 10kg
1757,1024064,0712909090,"Veggie-Chips, 1.5 Kg/Bag"
2274,1029035,0712909090,"Veggie Bites 10kg, S/V, D/W, Irr25kGy, LVP"
190,1024014,0804300090,Fruity Gems 5kg
1866,1024074,0813503180,Fruit & Nut Foraging Mix
1955,1024084,0813503180,Mardi Gras Foraging Mix  
2033,1024089,0813503180,Fruit and Veggie Medley 5kg
2207,1024105,0813503180,Fruit and Veggie Medley 1kg
211,1024035,1206009900,"Sunflower Seeds, Black Oil - sterile - 0.75kg"
615,1026008,1206009900,Sunflower Hearts - 20kg
616,1026009,1206009900,Sunflower Seeds 
617,1026021,1206009900,Sunflower Seeds 1Kg 
1788,1026035,1206009900,Sunflower Kernels
1971,1026050,1206009900,Sunflower Hearts - 12.75 Carry Home
630,1029020,1206009900,"Sunflower Seed 10 X 1Kg, S/V, D/W,  LVP - Irr 25kGy"
631,1029021,1206009900,"Sunflower Seeds, P/W, Irr 25kGy"
2225,1029033,1206009900,"Sunflower Seed 10 X 1Kg, S/V, D/W,  LVP - Irr 50kGy"
227,1024051,1214909020,Timothy Cubes
1953,1024083,1214909020,"Timothy Hay Mini Bales X 4, Sterile"
1824,1024070,1301200000,"Acacia Gum, NF/FCC"
2313,1015035,2304000000,Soya Bean Meal
635,1032008,2308009000,Shepherds Specialty Blend 
1803,1032009,2308009000,Shepherds Specialty Blend Irradiated
450,1033001,2308009000,LBS Gold Cobs Gd 12 
342,1033002,2308009000,LBS Gold Cobs Gd 6 
2114,1033003,2308009000,LBS Corn Cob Gd 12 - 20kg
2257,1033004,2308009000,LBS Corn Cob Gd 16 - 20kg
2322,1033005,2308009000,LBS Gold Cobs Gd 12 - 10kg
1984,1038013,2308009000,Gold Cob Gd6 2.5kg Bag
355,1039008,2308009000,"Corn Cob Gd12, 1 x 8kg, D/W, LVP - Irr 25kGy "
1752,1039027,2308009000,"LBS Gold Cob Gd12, S/W, Boxed, LVP - Irr 25kGy"
2057,1039034,2308009000,"LBS Gold Cobs Gd12 10x1kg, S/V, D/W, LVP - Irr 50kGy"
2160,1024099,2309105100,Mini Yogurt Drops
2252,1024111,2309105100,"Yogurt Drops, Wildberry Flavour 1kg "
2293,1024122,2309105100,"Yogurt Drops, Wildberry Flavour 5kg"
192,1024016,2309903181,Nutra Blocks Pina Colada 144/Pack
193,1024017,2309903181,Nutra Blocks Very Berry 144/Pack
196,1024020,2309903181,"PRIMA-Treats®, Uncolored, Assorted Fruit Flavors, 5 gm Wafer, 1,000/Box"
212,1024036,2309903181,"Supreme Mini Treats Banana Flavour 1gm plt,1,000/Bag "
213,1024037,2309903181,"Supreme Mini Treats Chocolate Flavour 1gm plt,1,000/Bag "
214,1024038,2309903181,"Supreme Mini Treats Marshmallow Flavour 1gm plt, 1,000/Bag "
215,1024039,2309903181,"Supreme Mini Treats Pina Colada Flavour 1gm plt, 1,000/Bag "
216,1024040,2309903181,"Supreme Mini Treats Very Berry Flavour 1gm plt, 1,000/Bag "
217,1024041,2309903181,"Supreme Mini Treats Banana Flavour 1gm plt 5,000/Box "
218,1024042,2309903181,"Supreme Mini Treats Chocolate Flavour 1gm plt, 5,000/Box "
219,1024043,2309903181,"Supreme Mini Treats Marshmallow Flavour 1gm plt 5,000/Box "
220,1024044,2309903181,"Supreme Mini Treats Pina Colada Flavour 1gm plt, 5,000/Box "
221,1024045,2309903181,"Supreme Mini Treats Very Berry Flavour 1gm plt, 5,000/Box "
222,1024046,2309903181,"Supreme Mini Treats Banana Flavour 1,000/Bag - Sterile "
223,1024047,2309903181,"Supreme Mini Treats Chocolate Flavour 1,000/Bag - Sterile "
